round,hospital,train_loss,test_loss,micro_f1,precision,recall,macro_f1,macro_precision,macro_recall
1,chapman_shaoxing,0.16936438503791826,0.1341910547876762,0.7665369649805448,0.8691176470588236,0.685614849187935,0.3652092562808125,0.4412600835671489,0.3396996104751789
1,cpsc_2018,0.1757759869347016,0.1495157712697983,0.6118803037070121,0.7025641025641025,0.5419303797468354,0.22497733826668587,0.2875488765787677,0.22933278056763584
1,georgia,0.24255480792592554,0.2456549180364146,0.5455514118273841,0.6900269541778976,0.4511013215859031,0.27522216970979047,0.3840115456023539,0.29562461087408787
1,ningbo,0.12075201340560687,0.1100078657229564,0.8082797116055508,0.8723226238286479,0.7529972555250614,0.33755915496135874,0.4435484587300922,0.31580835309603494
1,ptb-xl,0.15792933884059068,0.13712627650327103,0.8014641521445055,0.807310035267714,0.7957023226418075,0.4064149281591372,0.3793410652900529,0.4490565944682375
2,chapman_shaoxing,0.15190047463856937,0.16652679358119682,0.6787906342350534,0.8234969663541092,0.577339520494973,0.3022601462322089,0.3943835545080361,0.29563533697777455
2,cpsc_2018,0.13458476671328148,0.1149534876892964,0.7371549893842887,0.7956003666361137,0.6867088607594937,0.3540141621159987,0.4039377308609831,0.34326135089894194
2,georgia,0.21507872354385316,0.2012711100786635,0.6466466466466466,0.7485515643105446,0.5691629955947136,0.41910023018612846,0.5588661121808046,0.37954480600288937
2,ningbo,0.11587264634920572,0.10789276403108877,0.8082901554404145,0.8289054197662061,0.788675429726997,0.4001952148228567,0.4427358460505965,0.40196149979837204
2,ptb-xl,0.13523967828984043,0.12866458597065378,0.7976129582267689,0.8661359007591187,0.7391373044714805,0.4180207017629786,0.5047151209890887,0.38969543884231816
3,chapman_shaoxing,0.1269670841887182,0.10226861592697895,0.8363125125527214,0.8700376096949436,0.8051044083526682,0.5673154341371804,0.5918292146158911,0.5560794356308163
3,cpsc_2018,0.12521711527680357,0.08867669100562732,0.8005104210974053,0.8656853725850966,0.7444620253164557,0.4117755298085193,0.4714111347435563,0.39254607362255345
3,georgia,0.19844393848496325,0.19527958557733055,0.6550724637681159,0.7251336898395722,0.5973568281938326,0.44525185795500205,0.5100994926941919,0.43941866442889016
3,ningbo,0.09928832771852451,0.09709124904924206,0.8212308179085588,0.9076761671620913,0.7498194424382493,0.4034531404291107,0.4663792470027163,0.3857754827708351
3,ptb-xl,0.13085034192175013,0.12828671357137622,0.8115754587341363,0.8308507116848726,0.7931742771369885,0.458412250146734,0.48151317869132115,0.45197643645210195
4,chapman_shaoxing,0.1210900058459704,0.10367572526999955,0.8293299620733249,0.9111111111111111,0.7610208816705336,0.5159748548082702,0.6233994016788446,0.472364615748525
