round,hospital,micro_f1,macro_f1,micro_precision,macro_precision,micro_recall,macro_recall
5,chapman_shaoxing,0.6988113926889437,0.4170014204990864,0.8318206086492258,0.4472376922948483,0.6024748646558391,0.40803819968483496
5,cpsc_2018,0.310003954132068,0.2296412977641352,0.3098814229249012,0.21391796643702507,0.310126582278481,0.37934130020300794
5,georgia,0.5922444183313749,0.40615950570720877,0.6347607052896725,0.4229385415301352,0.5550660792951542,0.42228916656984605
5,ningbo,0.7559263880224579,0.4181889998612212,0.8213862057278427,0.42817559897245855,0.7001300014444605,0.43145627722216123
5,ptb-xl,0.6833660188981994,0.3505195322028578,0.7840049089793414,0.361173846604101,0.6056249012482224,0.4057068155210481
10,chapman_shaoxing,0.7362068965517241,0.4689690515746016,0.8315481986368062,0.527278424089748,0.6604795050270689,0.45719583151612375
10,cpsc_2018,0.3842662632375189,0.27692087828562234,0.3681159420289855,0.2955104933630743,0.40189873417721517,0.36061632344044603
10,georgia,0.590729093873748,0.45466176092821914,0.6267918932278794,0.5006949077893256,0.5585903083700441,0.4685658752062114
10,ningbo,0.7430006086427268,0.4245323798058614,0.7849220382575148,0.4878059487410527,0.7053300592228803,0.4423138382648148
10,ptb-xl,0.7168016907361747,0.4022214422964823,0.8096280087527352,0.44536683057869114,0.6430715752883552,0.44134714606134623
15,chapman_shaoxing,0.7719371727748691,0.5123494849573973,0.841936957514847,0.7446462030813795,0.7126836813611755,0.4909886710020726
15,cpsc_2018,0.38144329896907214,0.2825169010246245,0.35674931129476584,0.3393458626472167,0.4098101265822785,0.4103989343407887
15,georgia,0.6135024920706842,0.477958128247173,0.6315298507462687,0.6283615471370326,0.5964757709251102,0.48344295312250546
15,ningbo,0.7721247130267348,0.4565604296138888,0.7922492401215806,0.6099586159541435,0.7529972555250614,0.4648074037620533
15,ptb-xl,0.7232862466418234,0.42377431323346454,0.8009596928982725,0.47549763122664457,0.659345868225628,0.46108856199492676
20,chapman_shaoxing,0.7984057058946927,0.5596942939015672,0.8725355341586428,0.7225320291849165,0.7358855375096675,0.5237976620765217
20,cpsc_2018,0.40950639853747717,0.3059750152354501,0.380693405846363,0.4242097714005478,0.4430379746835443,0.41819343526513725
20,georgia,0.6203746002740977,0.4931312134681319,0.644212523719165,0.6615790735121099,0.5982378854625551,0.49677844665914206
20,ningbo,0.7977343866448054,0.4945702964044303,0.8240184757505774,0.6374039445954868,0.7730752563917377,0.4924107587352949
20,ptb-xl,0.7129485179407177,0.43659452576467483,0.7895949318487233,0.4915603765303702,0.6498656975825565,0.47474110351918236
25,chapman_shaoxing,0.8316791573830261,0.6209853135943381,0.8732454274776691,0.7846538116894686,0.7938901778808971,0.5878589550021899
25,cpsc_2018,0.4432094477249045,0.33753865291856716,0.39504643962848296,0.4309332353923209,0.504746835443038,0.5036177371306809
25,georgia,0.6335043497657818,0.5247154118396177,0.6416629010393131,0.6409149780409983,0.6255506607929515,0.5225177057974368
25,ningbo,0.8119389914617237,0.5417433306204705,0.8205014749262537,0.6545589815156089,0.8035533728152535,0.5354681358302676
25,ptb-xl,0.7151370679380215,0.46662484197479265,0.7753369023444711,0.49907569244126204,0.6636119450150103,0.5079137172828578
30,chapman_shaoxing,0.8125381640545492,0.6192870936203779,0.8577567683712936,0.7731645831400747,0.7718484145398299,0.5780645027101126
30,cpsc_2018,0.4507826086956522,0.3430596021808421,0.4022346368715084,0.4358207622398989,0.5126582278481012,0.4620665143894034
30,georgia,0.6301920500223314,0.533119395694335,0.6390398550724637,0.7341912983822478,0.6215859030837004,0.5238285354450202
30,ningbo,0.7879269261318507,0.5245202606462657,0.7877562806814901,0.6281444531354482,0.7880976455293948,0.5282758230370347
30,ptb-xl,0.7278638035760117,0.4661863496451868,0.7936567164179105,0.5058252191542244,0.6721440985937747,0.4986752221747262
