round,hospital,train_loss,test_loss,micro_f1,precision,recall,macro_f1,macro_precision,macro_recall
1,chapman_shaoxing,0.2587039432707865,0.2291300420538853,0.6479102956167176,0.6852091418714963,0.61446249033256,0.3102393264311722,0.360162547270261,0.3358277310981254
1,cpsc_2018,0.2292582527796427,0.2230099751551946,0.5104993000466636,0.6222980659840728,0.432753164556962,0.1824890080493152,0.2419960181302156,0.2114657266918837
1,georgia,0.3200610215757407,0.513391366572056,0.324244966442953,0.3094475580464371,0.3405286343612335,0.0866605523866786,0.1674479166666666,0.1644966402772999
1,ningbo,0.214617782487319,0.2144422744108098,0.37162941978806,0.6790644171779141,0.2558139534883721,0.1292089915364321,0.2482762995638011,0.122313661895198
1,ptb-xl,0.217400881529081,0.2317170305283803,0.6542478565861263,0.6455929856945085,0.6631379364828567,0.1847968339654865,0.2113466313914774,0.2425922647780534
2,chapman_shaoxing,0.2131468729766564,0.3103291661304942,0.5861486486486487,0.6455813953488372,0.5367362722351121,0.2968221162929769,0.3835477357867785,0.3029582538112141
2,cpsc_2018,0.2205664244790872,0.2903542232513427,0.5086083213773315,0.4652230971128609,0.5609177215189873,0.2364556942340363,0.3693817890104089,0.279885081786622
2,georgia,0.2888225577771663,0.2643828202509186,0.5038759689922481,0.5597416576964478,0.4581497797356828,0.2998451197385882,0.3478939139729157,0.300589485776662
2,ningbo,0.1819745905531301,0.2973174860647746,0.3960964408725603,0.4581673306772908,0.3488372093023256,0.1738464574976048,0.2188015135463219,0.1990671382677812
2,ptb-xl,0.2001755927466281,0.1605921238802458,0.7448905109489051,0.8814510904772187,0.6449676094169695,0.1566900399010882,0.2214539998867987,0.1412234971714297
3,chapman_shaoxing,0.1921049513065131,0.1932397040270142,0.6559027049695954,0.7164452588181401,0.6047950502706884,0.3184350371251883,0.3487806623454799,0.322388545948089
3,cpsc_2018,0.19118435797592,0.1446979120373726,0.6480593109463585,0.7220602526724975,0.5878164556962026,0.28202509579581,0.3655607428266641,0.252964406181827
3,georgia,0.2731146368691149,0.6351403064519456,0.2987688098495212,0.3942238267148014,0.2405286343612334,0.1262876235792127,0.2784559322371233,0.1580493527521684
3,ningbo,0.1633923096618448,0.1992202161565157,0.574844494708781,0.6521260997067448,0.5139390437671529,0.1972909580186642,0.2629625810971633,0.2072061758074707
3,ptb-xl,0.1826808681293698,0.3419825719959836,0.6471088435374149,0.7006076229055422,0.601200821614789,0.1151686641643925,0.2960032957968938,0.1759613613402424
4,chapman_shaoxing,0.1759302143616534,0.1748642861464266,0.7133995037220844,0.7666666666666667,0.6670533642691415,0.4303647038242866,0.4858551500055412,0.4642778470532048
4,cpsc_2018,0.1768791225800911,0.1412122266491254,0.7057884231536926,0.7123287671232876,0.6993670886075949,0.374638742364519,0.3710984563107942,0.3963837945602803
4,georgia,0.2483545961771525,0.2722279644996217,0.4230769230769231,0.7148846960167715,0.3004405286343612,0.2354371262194723,0.370067938450877,0.2305314214210068
4,ningbo,0.1526772383249637,0.140279514950567,0.7283451297607011,0.8740141557128412,0.6242958255091723,0.2566663798989272,0.3004211910678983,0.2362463003666176
4,ptb-xl,0.1703899200481607,0.1811145094042721,0.7559987535057651,0.7456585215921315,0.7666297993363881,0.2558138268264178,0.2786048274581281,0.3016522363039074
5,chapman_shaoxing,0.1660582002908814,0.189406382898658,0.674293114612562,0.7630679042501222,0.6040216550657386,0.3339039477502202,0.3847906957084653,0.3257338507862726
5,cpsc_2018,0.1658123925328254,0.1221985164284706,0.7416563658838071,0.7738607050730868,0.7120253164556962,0.3673935082767514,0.3793237422773526,0.3660478076187619
5,georgia,0.2381181554394025,0.2005846096763333,0.5960193652501344,0.7651933701657458,0.4881057268722467,0.3664925999789166,0.5061104246629055,0.3270619620965552
5,ningbo,0.1431177442238581,0.1394230581926448,0.7499601339499282,0.8369816693361808,0.6793297703307815,0.2973187747418307,0.3232089120755885,0.2794056958560068
5,ptb-xl,0.1610971313260297,0.1418223727366996,0.8036113499570078,0.8815317864553858,0.7383472902512245,0.3467655533974729,0.4175168172656112,0.3301653230188753
6,chapman_shaoxing,0.1543844205400493,0.1465791340727927,0.7439024390243902,0.8152073732718894,0.6840680587780356,0.4429234660620606,0.4968540988263799,0.4535083138506945
6,cpsc_2018,0.1586220623801152,0.1180226982136567,0.7371475953565506,0.774390243902439,0.7033227848101266,0.3561944660131721,0.39700327940035,0.3467172824495312
6,georgia,0.2299872095532277,0.2199163010108818,0.5960437272254034,0.7283715012722646,0.5044052863436124,0.3832772430511306,0.3982591822942488,0.3876625326967125
6,ningbo,0.1344551874644717,0.1389050486151661,0.7741488214450778,0.8293447763657369,0.7258413982377582,0.3143720366830496,0.3716255683149082,0.3067922257570968
6,ptb-xl,0.1576313143171115,0.18056571948211,0.7286087524493795,0.7538435546545025,0.7050086901564229,0.3678624145502385,0.3867465570155159,0.4006608642876318
7,chapman_shaoxing,0.1479140911449039,0.1624833810127387,0.757258064516129,0.7910699241786016,0.7262180974477959,0.4334499084813734,0.6215419795007783,0.4102304338191356
7,cpsc_2018,0.152151367093126,0.1328332151969274,0.7200674536256324,0.7707581227436823,0.6756329113924051,0.3489998025045368,0.3877386945350242,0.3612203832542973
7,georgia,0.222043518926583,0.2070640562084114,0.6054766734279919,0.7132616487455197,0.5259911894273128,0.3758922150413978,0.4080401160727762,0.3640668108327826
7,ningbo,0.1291263020569947,0.1482661525000418,0.7281607814877091,0.8169241825368307,0.6567961866242958,0.3140338691033773,0.4214148904777812,0.3517290522792959
7,ptb-xl,0.1519645165630789,0.1469388140344234,0.7813723140825944,0.7901453957996769,0.7727919102543845,0.3188071061241757,0.4187234955706234,0.3435374689722847
8,chapman_shaoxing,0.1440305475722958,0.1392738362300699,0.7768197313013836,0.806747188671387,0.7490332559938129,0.4393604422162568,0.4764948427403022,0.4326947160418237
8,cpsc_2018,0.14844538996617,0.1200933503607908,0.7174103237095363,0.8023483365949119,0.6487341772151899,0.342312333026755,0.4127745362138226,0.3382137837763566
8,georgia,0.2173416098652809,0.2320797879574368,0.5447368421052632,0.6764705882352942,0.4559471365638766,0.356732608968465,0.5055009990281443,0.3463304299381475
8,ningbo,0.1255123576271199,0.110876251347363,0.8002198837757185,0.8767854069867492,0.7359526216957967,0.3330610234551339,0.4405892022842886,0.3085749320587974
8,ptb-xl,0.1489949008634052,0.1820992817783537,0.748065191659838,0.88268156424581,0.6490756833623005,0.3020596874693021,0.3884153986021686,0.2802256474133038
