epoch,train_loss,test_loss,micro_f1,macro_f1
1,0.1642341348707923,0.1475228184140759,0.7503282782769897,0.5134040513555718
2,0.13103494959373996,0.12879359198627494,0.7693236383591714,0.5458809994819668
3,0.12207661611928465,0.11952493655585605,0.7732185072610605,0.5444286961099022
4,0.11507272318787667,0.1198517704897433,0.7805052759181199,0.5651734175981065
5,0.1096301086915873,0.11537538567918973,0.7910794983554831,0.584676439329187
6,0.10528019635490456,0.1140248829012712,0.7922619528075981,0.598750271356432
7,0.10134634999043787,0.1113250431602632,0.7986780945216153,0.6131761200829303
8,0.09813651890025696,0.11058553937455384,0.7998925886143932,0.6013841127699625
9,0.09481430454179644,0.1071454047677743,0.8063039079970185,0.6272514932657204
10,0.09185145393847513,0.110203694183962,0.8010457093574817,0.6281603672816587
11,0.08914851032928127,0.11822803683003559,0.8025445031549787,0.6450880326506353
12,0.08586504052969426,0.11209832351974781,0.8071701315231226,0.6573033733116308
13,0.08264855522564638,0.11101842285410833,0.8054876103371265,0.6468779996729543
14,0.07944289134835918,0.10985708242027901,0.8112462569891619,0.657528683040873
15,0.07560258852343657,0.11357065042099271,0.8071445557111528,0.6572246159045912
16,0.0711820984537101,0.1148980886363609,0.8074383221511966,0.6586413181223616
17,0.06695382511449041,0.12140988064560596,0.8075952659643647,0.6702655939577187
18,0.06175842923613893,0.12385243803030906,0.8006963974822553,0.6568270927225602
19,0.056229821581120776,0.12938595025534516,0.8041406169929282,0.6688304429246239
20,0.05053563297427779,0.1332155828264702,0.8015864677453246,0.6609018426006877
21,0.044780550517646074,0.13817322090019918,0.7981809375168183,0.6428374040354543
22,0.03910837105169213,0.15512104204454302,0.797217625155151,0.6612365321958292
23,0.033566563315297226,0.16117390893599212,0.797096053611318,0.6444465977012747
24,0.02851785798467058,0.17443927657654065,0.7934788352798182,0.6626581774698851
25,0.024980328820847768,0.1819275494004366,0.7994315979847565,0.6616751301962478
26,0.02149179873404991,0.19519946682713063,0.8003910873256831,0.6624992408190011
27,0.018876973400616025,0.218367252549292,0.7894681300126636,0.6451659428041042
28,0.01695429339095788,0.2127961959797841,0.791527021365731,0.6568720096309857
29,0.015687848337879663,0.21993572845242687,0.794456909066913,0.6488184713202032
30,0.014272557743114306,0.22110635094692835,0.7953539823008849,0.647935577062294
